"marker","cell_type","J1798_P28_Baseline","J1798_P28_C1D1","J1798_P41_Baseline","J1798_P41_C1D1","J1798_P23_Baseline","J1798_P19_Baseline","J1798_P19_C1D1","J1798_P42_Baseline","J1798_P42_C1D1","J1798_P8_Baseline","J1798_P8_C1D1","J1798_P5_Baseline","J1798_P5_C1D1","J1798_P1_Baseline","J1798_P1_C1D1","J1798_P27_Baseline","J1798_P27_C1D1","J1798_P9_Baseline","J1798_P40_Baseline","J1798_P30_Baseline","J1798_P24_Baseline","J1798_P24_C1D1","J1798_P34_Baseline","J1798_P34_C1D1","J1798_P34_PD","J1798_P3_Baseline","J1798_P3_C1D1","J1798_P18_Baseline","J1798_P18_C1D1","J1798_P38_Baseline","J1798_P38_C1D1","J1798_P33_Baseline","J1798_P33_C1D1","J1798_P33_C2D1","J1798_P44_Baseline","J1798_P44_C1D1","J1798_P44_C2D1","J1798_P6_Baseline","J1798_P6_C1D1","J1798_P14_Baseline","J1798_P14_C1D1","J1798_P26_Baseline","J1798_P26_C1D1","J1798_P15_Baseline","J1798_P15_C1D1","J1798_P15_C2D1","J1798_P12_Baseline","J1798_P21_Baseline","J1798_P21_C1D1","J1798_P25_Baseline","J1798_P25_C1D1","J1798_P25_C2D1"
"%PD-L1+ of PANCK+ cells","PANCK cell",0.144400753713231,1.75438596491228,0.0547664572321233,0.0609509110315533,0.0141382723031246,0.671212812115685,0.0902527075812274,1.00840336134454,0,0.0329008473915729,0.0675435993655029,2.60010269968857,0,7.47770432523256,0.246811115056786,0.00776880049720323,0.189331978310351,5.24213193023482,0.0615132253434488,0.110091645977588,0,0,0,0.83861673580976,0.174935571534147,0,0.104384133611691,0.055005500550055,0.566552245729127,1.00175871176104,0.346129269732454,4.25632324361391,0.513379097813443,1.47946140513978,5.49419328944183,3.97662421752747,5.48862112770844,0.506258373263151,0,0.226466566181472,0.986977347084676,0.286336702344278,1.28127493837338,1.03567569451706,0.904880380410526,4.41656823300643,0.316892060999628,1.70287088554899,1.74578920930563,4.54761778392435,0.906148867313916,1.43364103110437
"%Ki67+ of PANCK+ cells","PANCK cell",11.7955106478206,12.0270681102675,17.2087539970638,17.6686777737267,30.4962533578397,14.6792132517897,7.61752147017918,4.93705696098518,10.3618421052632,48.3910202636031,46.1919146867189,11.6282799648913,10.6189851268591,8.04836803948372,7.02416000490949,24.2071012357519,16.2639460712033,44.3980992212503,10.1947826854523,16.1404568953749,40.9912985361875,32.6866888688162,14.5903821644188,23.2697384017128,22.1351775601427,27.6243093922652,18.2656609680717,43.7684710936267,22.0566296294879,41.6639585250037,29.0359595555599,40.2439933477457,29.2778101088702,16.3062216090286,11.2196732877745,14.330443626465,52.6624301814576,7.37764349414183,8.16365095384706,8.54054679648742,17.8367382824128,5.44111274124643,8.45922194379349,12.0407647530412,12.3561144135003,11.3475520315551,12.3851502617942,29.4447983578928,19.9439694573308,25.4642512975066,29.5145631067961,36.0145331430655
"%Ki67+ of total immune cells","Total immune cell",31.2789449334565,11.5523904446941,34.6174260242625,59.0011111251858,43.1325301204819,12.9226011037451,8.92399634755254,6.08390528890683,11.1695137976347,29.4792828750903,25.8925467274129,37.610523291925,33.2777836570027,21.2100213643277,21.1722609884936,24.3077793879915,22.7682673243387,21.4723848576441,8.1633765101507,40.312810309272,22.3567565097053,12.3636377582898,22.7629469296136,17.9927223946135,33.9761344900068,89.8773006134969,25.0349851578118,20.6313303704298,17.0246702802437,24.1377467937201,12.3854268527633,38.2444714518516,20.6234006178978,30.7499972229485,12.4945743197741,20.5983046460315,31.3837134672024,14.3298279813281,2.70311333745269,22.3034040437557,11.8369787376834,32.3694418050004,20.9444618700127,31.8325154569773,13.4631758194977,8.63296957613762,8.33254951423179,5.32491205956245,6.24436550928138,26.957961817615,9.01856763925729,20.7471561272652
"%CD3+ of immune","T cell (Overall)",45.8548342498303,42.747680058352,22.7441426809891,15.2021717170358,11.0843373493976,30.6700661934732,30.5928056075119,40.8480181442516,24.3101182654402,6.20602408033559,13.6518746189592,27.8368872799178,14.161387962611,35.2081172399095,32.9122587546345,10.8806156204437,13.7452649225462,29.3716049121769,19.8148897745672,19.6916943655738,29.482630663385,33.3952094583538,27.3619795842018,15.5791009000376,23.1936188912898,1.33853876185165,28.5952929060399,28.5992413034051,40.2765269363299,42.8563557121734,24.4305820129907,44.5432905672557,35.6947665200964,28.956705553932,31.1942857345636,49.0360509236699,46.6774704958775,20.8161657007146,10.3226525849473,10.4306865129539,20.9157473481937,23.9969140568236,20.7192046676168,43.0084858362712,47.2435078756918,34.8316035547724,29.5437300320902,24.646601447258,38.7390215809056,40.1954968660823,68.7002652519894,46.7570648298751
"%CD45 other (non-T cell) to make up to 100 for pies","T cell (Overall)",54.1451657501697,57.252319941648,77.2558573190109,84.7978282829642,88.9156626506024,69.3299338065268,69.4071943924881,59.1519818557484,75.6898817345598,93.7939759196644,86.3481253810408,72.1631127200822,85.838612037389,64.7918827600905,67.0877412453655,89.1193843795563,86.2547350774538,70.6283950878231,80.1851102254328,80.3083056344262,70.517369336615,66.6047905416462,72.6380204157982,84.4208990999624,76.8063811087102,98.6614612381483,71.4047070939601,71.4007586965949,59.7234730636701,57.1436442878266,75.5694179870094,55.4567094327443,64.3052334799036,71.0432944460679,68.8057142654364,50.9639490763301,53.3225295041225,79.1838342992854,89.6773474150527,89.5693134870461,79.0842526518063,76.0030859431764,79.2807953323832,56.9915141637288,52.7564921243082,65.1683964452276,70.4562699679098,75.353398552742,61.2609784190944,59.8045031339177,31.2997347480106,53.2429351701249
"%CD4+ T cells of CD3+ total T cells","T cell (Overall)",42.9059544917258,54.2836507393469,61.9052519645979,52.0574850672662,34.7826086956522,48.7116950091634,63.4053968198963,66.8464961067853,71.8918918918919,56.1443932411674,53.015197796607,54.3211575065353,44.1120607787274,52.8530024123342,53.6517005447884,67.5809352517986,35.6060606060606,29.6173469387755,46.8961148648649,69.3231180339816,51.4943883277217,68.8849888849889,47.4074074074074,49.7724153457236,68.8566713774762,45.8333333333333,47.850757161102,65.3071665195692,58.8647326532582,47.8974205558025,54.2931942620304,51.2858241091,35.5714909044757,41.5480786909358,62.8799014214249,60.5274155404738,57.4661592892179,57.5793650793651,69.6595211432837,66.4693921478744,67.2687969924812,64.1855763917511,56.4558516062018,64.6934865900383,78.8467664861421,81.5177262824322,72.8308575716045,59.5144329802628,63.0710920820305,64.4748167178035,81.6602316602317,70.1014232245249
"%CD8+ T cells of CD3+ total T cells","T cell (Overall)",27.9153815752165,18.5177514127464,8.37111100686267,6.5929919934668,7.2289156626506,16.9485040827447,11.2547617004944,13.5749400337236,6.83311432325887,2.9822637783025,7.83736983103895,9.18375905311862,9.47205220463734,12.6090546991833,15.9071339499965,3.67270056337904,8.26099746925222,21.4251442582063,9.68208992402541,6.76483857055508,13.0246053768098,10.0889812149477,13.422051199829,7.82271020495581,5.0814015235723,0.725041829336308,16.3813836554189,9.92552875993117,18.309768412775,24.1392701848297,12.9338708586146,23.4743468778055,23.0785965082714,16.8852099365465,11.4446715343658,21.1498703687936,19.4316026734325,7.34605517002501,3.64537540575428,3.74748201498229,5.95217163025479,8.04796919538746,9.42946947438731,15.2089570747781,9.88718603661132,6.38016587712422,8.52312481812885,9.5724159442951,16.6796472895269,14.6724304419453,12.5994694960212,13.9669824536034
"%PD-1 of total T cells","T cell (Overall)",12.9340277777778,4.6046046046046,3.93407555056591,5.27925364298043,1.08695652173913,5.41405617354985,7.29087023348726,5.17241379310345,1.08108108108108,9.8364190045005,11.466989944282,19.4233907109227,1.1633428300095,6.49023762252574,1.53353996290626,5.9652278177458,7.76515151515152,30.1530612244898,6.6089527027027,8.50457545516095,0.166666666666667,0.595238095238095,1.38888888888889,6.00097375473315,8.18141039724613,2.08333333333333,2.35905856595512,10.7669471093169,2.25380280847362,5.0272964677249,15.7632520238564,21.7226783390576,8.82390721782637,29.5734510020224,10.9050434449654,8.09935468460679,9.43823877058543,11.0119047619048,17.2719031621607,2.85652571590577,2.66447368421053,3.61477945520043,9.60895460353135,7.4904214559387,4.10958904109589,6.58353139235492,7.96851555856869,1.93659276276142,7.00273499495982,4.78686048463098,0.193050193050193,3.58670289678665
"%FoxP3+TBET- CD4+ T cells (TREG)","CD4+ T cell",14.4432294514307,5.95956692536169,17.1544605934963,19.1648057213555,18.75,14.6573017659276,8.24835572188307,8.04082648742843,2.25563909774436,8.45295055821372,9.23340548340548,27.310912368117,9.3167701863354,13.422083150344,7.85714285714286,9.27392739273927,0,2.4390243902439,2.4390243902439,24.1615853658537,7.05728416402574,23.8886393131676,8.33333333333333,39.0575659972212,9.82237987877693,0,3.77774151436031,9.14590615243721,6.82604848981402,15.3743673735724,12.0830456595784,3.41322234978951,15.3262151003512,24.5822102425876,12.5698011146655,13.2168036464823,5.50075312347307,13.0952380952381,20.0835791543756,9.46643201796667,25.4099378881988,8.3287712369134,9.70242193650735,6.95852534562212,6.94444444444444,6.82113690092414,6.18477335709969,8.97001327143401,5.36938970990695,13.7190819547783,3.07328605200946,6.2551245959284
"%FoxP3- TBET+ CD4+ T cells (Th1)","CD4+ T cell",2.99799526152725,10.0622784324998,7.01574128341432,7.23309460591081,43.75,2.74551104560745,4.3378579819905,7.43921666251763,11.2781954887218,7.57575757575758,7.04861111111111,4.12204186024634,3.60248447204969,11.567120480164,10.5555555555556,3.46534653465347,5.55555555555555,2.45098039215686,1.21951219512195,1.09881809576932,0.561797752808989,0.833333333333333,8.75,4.43349753694581,11.1738234315103,0,1.0443864229765,14.6662976440718,9.13720446806273,4.37088740107034,6.00360742888705,4.01836969001148,4.95448323461532,9.07637017070979,3.48644264736721,5.26229895100506,7.74435106162002,8.53174603174603,4.16666666666667,4.16874145317958,8.34886128364389,8.41469938668405,4.75780216110595,11.1751152073733,12.037037037037,7.12353222749741,6.57050410688511,7.34266490091334,6.61810686918446,6.4744352811369,6.85579196217494,10.4921437767855
