"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CXCL9",1050.72939811047,2.72099606920235,0.558826911842811,2.72615612631961e-08,1.86423643104823e-05
"CLEC4D",17.1507973048637,2.7092575959515,0.83222045437016,1.2840209854215e-06,0.000369707937065572
"PLA2G2D",34.9709280815238,2.70534211622454,0.702407963403028,6.66846145310669e-07,0.000232856998656143
"GBP5",838.066347260592,2.55578859120589,0.370260401263778,3.3563427988384e-13,1.10168596029072e-09
"IDO1",615.812063929999,2.38106903733608,0.579811615430315,1.21646360714046e-06,0.000369707937065572
"PDCD1",33.5833789692418,2.28582247904748,0.611116728711436,3.74009220840545e-06,0.000767279916554379
"GNLY",95.2030981698226,2.27132941603792,0.504733121395932,4.6592030242372e-07,0.000177829860543676
"GZMB",81.7430904095862,2.22624199090859,0.39192265350536,1.62486689452404e-09,2.05133195945605e-06
"ADAMDEC1",133.915096785299,2.2221635706612,0.522707326740509,1.22832897008381e-06,0.000369707937065572
"CD2",123.679179593959,2.20677109849284,0.294777211992495,1.01415847324057e-14,1.66443688628243e-10
"IFNG",16.3200975134902,2.11841755773486,1.0751181305351,2.58446600180419e-05,0.00368837008883569
"SLAMF7",254.125229462122,2.09025772197593,0.50614618314179,2.38922556725799e-06,0.000571823235310535
"CLEC12A",44.1435094577979,2.07456222701488,0.521232318223976,3.68398309402674e-06,0.000765335829609708
"THEMIS",55.8494287295235,2.02761474207625,0.362255554396437,3.88221256812258e-09,3.98217954175174e-06
"IL2RA",89.0186749731952,2.02034565683102,0.367033678353376,6.62159510478131e-09,6.03742326998172e-06
"GZMH",21.0563150018996,1.98267373846724,0.761946202206197,4.18285306427168e-05,0.00528069111467898
"TNFRSF9",40.9466635995025,1.9587923767533,0.455343492745447,1.84887560032515e-06,0.000489415263750587
"CCL18",517.744448915801,1.95407607162027,0.346457248214706,3.47565768712183e-09,3.80283293073624e-06
"LYZ",25861.6914071689,1.93501663130528,0.391156281492126,1.41312899016402e-07,6.10322973330839e-05
"HLA-DQA1",895.677072241945,1.93382701402844,0.358170717807745,1.385569963566e-08,1.13699871210226e-05
"CCL5",260.83622029643,1.91511038124185,0.368009021421332,4.05266675599718e-08,2.53264701668038e-05
"CXCR6",81.1214844204972,1.90572282888322,0.506731567353214,8.58032263309744e-06,0.00142242681873127
"SLAMF8",279.851503207453,1.89895312835527,0.266840963049303,2.66458344209943e-13,1.0932785862934e-09
"ICOS",31.8061771467421,1.8951205751868,0.688539358261713,4.42465684330158e-05,0.0053917136195681
"CCL4",79.9600495112505,1.89449486410222,0.494546564039301,7.50092943731456e-06,0.00132308286351012
"IL21R",82.8243220638561,1.86305035141932,0.409109675229948,8.92577322422764e-07,0.000292979580312048
"GZMA",80.2723030632996,1.83195077939652,0.352460315969633,4.83414445523608e-08,2.59585719188507e-05
"CD72",69.6106136795002,1.82873090207934,0.472480095914662,7.65859566374976e-06,0.00132308286351012
"CTLA4",28.2140330926896,1.79988824985807,0.704995843429129,6.84475514593803e-05,0.0072474917067829
"SLAMF6",112.229853326091,1.79457863750074,0.339383389540899,3.198269774909e-08,2.09960014183226e-05
"HLA-DRA",6725.84302479742,1.79103273488192,0.279499331207065,4.10154579796474e-11,6.73145696361972e-08
"HLA-DQB1",1336.21779284732,1.7846566528053,0.255584078365384,8.26851618579774e-13,2.26171479402188e-09
"HLA-DOA",363.18440672268,1.75296887706365,0.335481989024691,4.75499430465258e-08,2.59585719188507e-05
"TLR8",162.166289977579,1.73683454186067,0.348075889214417,1.6060320824514e-07,6.58954963429811e-05
"FCGR1A",171.448492014941,1.71336958191063,0.316390103511748,1.81996360638991e-08,1.30813038559399e-05
"HLA-DMB",643.359306674913,1.70411091289372,0.254293326623565,6.57608498843314e-12,1.54181009757378e-08
"HLA-DQB2",49.7117064208572,1.69668206344706,0.476175646231614,1.7899754718431e-05,0.00277142240036688
"FCGR2C",117.153127451015,1.69574516397651,0.807794445287349,0.00013516237582969,0.0119039889185955
"PRF1",148.322568718497,1.69400322502566,0.577147326284796,5.05563435692338e-05,0.00572228076316044
"DUOXA2",245.655069473615,1.69161310365876,0.356037535597219,5.19202955215451e-07,0.000189359086688799
"KLRD1",45.6066418483746,1.66778428002567,0.598616276018088,6.47799874590172e-05,0.00694881800115941
"CD300LF",85.5800328306183,1.66324833891409,0.378328642444414,2.17707395275104e-06,0.000549694426346924
"PLA2G7",281.419503938069,1.65868737062436,0.347742273785576,5.01977354569e-07,0.000187237553254237
"CXCL11",159.633431399318,1.6452188106433,0.976658052876423,0.000188328489968601,0.0142435353795607
"ITK",84.368284873427,1.63867473377242,0.348403102842942,6.88776878929596e-07,0.000235504294520678
"HLA-DRB1",2330.77110786377,1.63571065302682,0.290608005314242,6.14934898141904e-09,5.93665385194407e-06
"FPR2",88.8398772343433,1.63488429048197,0.369366030130392,2.0385213503683e-06,0.000531050990511818
"CXCL10",434.167896830312,1.62987118982743,0.753072301212544,0.00014648857703488,0.0123290796220331
"ALOX15B",28.1358269208662,1.61768264615985,0.78259402613301,0.00016524372340576,0.0132940195516438
"ABCD2",18.8586704612511,1.59732372218566,0.730663506624588,0.000152199507897836,0.0126156480990873
"CD48",186.577363070876,1.59697344083351,0.301685961699269,4.16655309836524e-08,2.53264701668038e-05
"CD3G",32.4826780070131,1.5837222053814,0.739962340880548,0.000163924378446241,0.0132542501444135
"CD69",43.1705315677354,1.58206105416133,0.405393769082637,1.00216767157939e-05,0.00163211922146172
"CLEC4E",69.931600064297,1.58105110038808,0.671757942966211,0.000128947123366727,0.0116681730226033
"BATF2",214.473354807334,1.58080471884955,0.49484903476087,3.96574954357024e-05,0.00512487255976966
"GBP1P1",21.2155967015567,1.57871992561196,0.885150184477691,0.000224983626732337,0.0159845510040308
"CD3D",49.4435903704019,1.56719359752487,0.524348068950223,5.55208443872308e-05,0.00611549059116263
"HLA-DPA1",2951.39212126273,1.55430330871969,0.30472561043491,1.20470796897515e-07,5.49212977411672e-05
"HLA-DRB5",992.955408457187,1.53809486101857,0.258841990725942,1.09869719203905e-09,1.50265152631208e-06
"IL18RAP",28.6739593408483,1.53606168219131,0.55050872186668,7.69925373969732e-05,0.00780000940592052
"SLA2",33.0080251321486,1.53100472136998,0.512719575024961,5.8146572217858e-05,0.00631987776979792
