pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.242622950819672,0.466582597730139,0.161978948883402,-0.529337464907116,-1.09660260301593,187,ORM1|TST|C3|CYP4B1|CMBL|EPHX2|DLD|ACADS|DHCR7|AIFM1|BCKDHA|SCARB1|ALDH2|FAH|HADH|DHRS7B|MDH2|REEP6|PEMT|DDT|PGM1|SLC25A10|QDPR|ABCB8|GBE1|SORBS1|SLC25A1|CD36|ACADL|SCP2|PHYH|ACOX1|FZD4|CRAT|ECHS1|GADD45A|MYLK|MCCC1|ETFB|ACLY|RETSAT|TOB1|ANGPTL4|CAT|GPHN|PTCD3|SPARCL1|LIFR|DBT|CPT2|ME1
HALLMARK_ALLOGRAFT_REJECTION,2.19975610956816e-10,5.4993902739204e-09,0.826657301178302,0.913688690960972,1.70274641393741,183,CXCL9|GZMB|CD2|IFNG|IL2RA|HLA-DQA1|CCL5|CCL4|GZMA|HLA-DRA|HLA-DOA|HLA-DMB|PRF1|KLRD1|ITK|CD3G|CD3D|IL18RAP|CD3E|HLA-DMA|CD86|CD96|CCR5|LCK|PTPRC|SIT1|IL2RG|CCR2|CD74|IL12RB1|GBP2|CD80|IRF4|CD40|TLR2|CTSS|TAP1|GPR65|CD7|ITGB2|FGR|TRAT1|CCND2|JAK2|B2M|CD8A|ST8SIA4|BCAT1|IGSF6|HLA-E|STAT1|MAP4K1|FCGR2B|SRGN|CAPG|FASLG|LY75|PRKCB|NLRP3|SPI1|STAT4|HLA-A|CXCL13|ITGAL|SOCS1|TAP2|CD247|LY86|IL2RB|CD8B|CCR1|CXCR3|PSMB10|TNF|NCF4|HCLS1|IRF8
HALLMARK_ANDROGEN_RESPONSE,0.932584269662921,1,0.0647943366000727,-0.39912111642024,-0.747796216741185,93,HPGD|HMGCR|HMGCS1|DHCR24|IDI1|AKAP12|SORD|BMPR1B
HALLMARK_ANGIOGENESIS,0.582366589327146,0.909947795823666,0.0789209638180035,-0.555694882650822,-0.91190906766649,34,VTN|APOH|SPP1
HALLMARK_APICAL_JUNCTION,0.060781476121563,0.157142857142857,0.219250346703755,0.693943486786294,1.29115739542343,182,ALOX15B|CD274|CD86|PTPRC|CD209|LAYN|ADAM23|SYK|RAC2|VWF|COL9A1|ARHGEF6|TRAF1|CADM3|CDH3|ICAM1|VCAN
HALLMARK_APICAL_SURFACE,0.742168674698795,1,0.0684714904492088,-0.482905877465573,-0.803785745541118,38,PCSK9|RTN4RL1|LYPD3|PKHD1|SLC2A4
HALLMARK_APOPTOSIS,0.0413589364844904,0.11488593467914,0.271288554688953,0.723515949116768,1.32077049465091,156,CD2|PRF1|CD69|TAP1|IRF1|CCND2|CASP1|CASP4|PLCB2|FASLG|SOD2|CD38|TNF|LEF1|BIRC3|ANXA1|CYLD
HALLMARK_BILE_ACID_METABOLISM,0.012297278557561,0.0384289954923781,0.380730400722792,-0.78937251678498,-1.50062732599556,107,TTR|ALDH8A1|GC|APOA1|AKR1D1|AGXT|CYP7A1|SERPINA6|GNMT|HSD17B6|CYP8B1|HAO1|ABCA8|PIPOX|ABCG8|SLC27A5|AR|SLC23A1|NR1I2|BBOX1|DHCR24|EPHX2|IDI1|CROT|DIO1|ABCA4|NEDD4|FDXR|SLC27A2|AMACR|ABCA6
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.00685652997612278,0.0263712691389338,0.407017918923954,-0.829883580355984,-1.4694446106707,73,ADH4|GLDC|GNAI1|SQLE|HMGCR|MVD|CYP51A1|HMGCS1|TMEM97|FDFT1|IDI1|HSD17B7|CLU|LSS|FASN|MVK|FDPS|AVPR1A|DHCR7|EBP|CBS|PCYT2|TM7SF2|ACAT2|SREBF2|NSDHL|ERRFI1
HALLMARK_COAGULATION,0.000343151877937604,0.00214469923711002,0.49849310876659,-0.827321059720914,-1.64343441352346,133,F2|ITIH1|HRG|TF|PLG|APOA1|HMGCS2|SERPINC1|FGA|F11|F9|TMPRSS6|APOC3|MBL2|C9|F13B|PROC|FGG|C8B|F12|MASP2|CPB2|CPN1|KLKB1|C8A|MST1|ACOX2|MMP10|C3|PROZ|COMP|SERPINA1|F10|HPN|RGN|CLU|C8G|ANG|APOC2
