"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GBP5",772.050305255998,3.53340729317215,0.356097026405535,2.08465823034409e-25,1.69910069064195e-21
"CXCL9",1003.38141218903,3.39078174058057,0.581362124021802,2.66841849366828e-11,2.55869940384039e-08
"MMP12",772.806127349987,3.31209324633937,0.448228706754838,1.09915813293429e-15,2.98622945416032e-12
"CXCR6",73.5395010807419,3.15882690903962,0.488580109289064,9.18524053751037e-13,1.36116914547233e-09
"IDO1",552.883914317245,3.0296416833424,0.517334368830361,5.25426601324723e-11,4.50788369904964e-08
"PLA2G2D",34.6651653582375,3.00941476331733,0.862219857987826,7.92132235216133e-07,0.00018989040538615
"ADAMDEC1",128.689182518503,2.95296821686499,0.396195753042459,1.38555993132361e-15,3.22657320578659e-12
"GZMA",69.9437180789039,2.88390209388171,0.446260328457844,1.70356322928708e-12,2.31414868338406e-09
"GNLY",90.9341164515133,2.80626798189648,0.468611499772907,4.00766170287592e-11,3.62938296769891e-08
"CCL5",235.797463408871,2.74539272435248,0.345716636972003,4.88787723277289e-17,2.6559095590477e-13
"SLAMF8",255.537538216658,2.58231365997436,0.485403980976707,3.12799419780676e-09,1.75825632477407e-06
"ICOS",29.1790763417695,2.57791723183179,0.579524774009912,1.94100645629855e-07,6.32806924882453e-05
"SLAMF7",250.823291292831,2.54900624364708,0.601706079813944,4.55097221721416e-07,0.00011775460017906
"CXCL10",398.228353185043,2.49693974246443,0.567746796319228,2.89307151849979e-07,8.05583354263099e-05
"GZMB",76.5197166053913,2.48551788153632,0.440283883319827,6.55210168998928e-10,4.55510361617887e-07
"CD3E",49.9627903826977,2.47677563337631,0.685170036131964,2.9390983372828e-06,0.000564579484847793
"CCL4L1",25.6167124173632,2.45202769256944,0.703849769004788,4.05664569020514e-06,0.000734748682178155
"LYZ",25486.5712731659,2.43721419618052,0.425136317267486,4.4514383575628e-10,3.29831348484687e-07
"THEMIS",53.3958438262019,2.36666357690385,0.567351062820656,8.84116504329125e-07,0.000197424426535193
"CXCL13",50.522346056932,2.34800445172004,1.1588437188387,2.17865553105517e-05,0.00261134292733312
"CD2",119.793296796814,2.34313940492022,0.414371274170627,8.79377617429926e-10,5.73389381669009e-07
"CXCL11",138.908628963694,2.31640242774458,0.594557280934184,2.22160189843576e-06,0.000447090525264213
"CD7",42.8940666267696,2.31504849314242,0.446134939676165,1.20999798476212e-08,6.16380535925227e-06
"CTLA4",26.2048807236297,2.30484809170644,0.88592892085903,2.00015607398796e-05,0.00243317493746848
"PRF1",140.946984154981,2.25477704972923,0.326175587398398,3.53052519810785e-13,6.39456569492845e-10
"FASLG",16.3794182837342,2.24226853416167,0.947563445312987,2.88460564511855e-05,0.00313479710807183
"TLR8",148.883502968547,2.23750712008461,0.491754847018549,2.97794786066239e-07,8.05583354263099e-05
"CD3D",45.7602655456371,2.20042552967088,0.576350129443263,3.50327450064724e-06,0.000664033460872682
"CLEC4D",17.634397887027,2.17228512115814,0.97737351315596,3.85686473384636e-05,0.0039791615206601
"GRIN3A",15.1012285833194,2.15816943711864,0.832873603543268,2.9404146694204e-05,0.00315340128461986
"FCGR1C",40.3080027150621,2.13262752500271,0.601043001064611,7.35035073325385e-06,0.00119818067302771
"CCR5",97.4070949820299,2.12683030508044,0.453552238989336,2.13087407899699e-07,6.43765088109856e-05
"FAM26F",93.6712028343919,2.11127383546783,0.333428876234087,2.45415774218595e-11,2.50032658471083e-08
"IFNG",16.0519348230198,2.1080885500378,1.11455878762031,5.09696531159411e-05,0.00477503629564917
"LOC731424",13.6111396573278,2.09965571224535,1.28960885326883,4.09092333833695e-05,0.0041609514118351
"SIGLEC10",116.800560286511,2.09417417374019,0.313169998826019,2.43336060729889e-12,3.05124701996763e-09
"CHIT1",125.135098351458,2.08777986426905,0.914058971931449,4.65569342562277e-05,0.00446426226653393
"CCL4",73.7645593074062,2.08717871713412,0.547908701459765,4.52603031855529e-06,0.000784881066199679
"SIT1",20.4277472937109,2.08030265518082,0.732772869384951,2.60555898666402e-05,0.00286981196227096
"TBX21",19.9513878097036,2.07736866811961,0.708330803877295,2.30789528351331e-05,0.00272615949395293
"LILRB4",233.552532611462,2.04501529202264,0.40688534682307,5.27264015081979e-08,2.09632456337838e-05
"TIGIT",55.7233006579738,2.0350950707118,0.690302053599087,2.46086940208208e-05,0.00282497409319296
"SAMSN1",157.114811507598,2.02825030378884,0.326839995566789,6.62865172354597e-11,5.40268258727614e-08
"KLRD1",44.4903826568358,2.01533485091455,0.414038527332054,1.21636551186898e-07,4.21871791680345e-05
"CD48",171.10439845666,2.01263716934271,0.44501011324174,5.52240242890173e-07,0.000136394972717465
"PTPRC",1230.06975840404,2.00872199561555,0.408375568051407,9.66771303157518e-08,3.4259432636458e-05
"CD3G",31.0354134793609,2.00110392095865,0.594009339558378,1.33732973207053e-05,0.00177422360895757
"PLA2G7",261.29329727413,1.98931561504353,0.526912248735275,5.93166199265494e-06,0.00100720856398196
"CYBB",1588.3646287437,1.97201527129334,0.415301863519729,2.31290762969943e-07,6.77762745346408e-05
"GZMH",20.2178750551287,1.95868062149989,0.854814047579368,6.31895600638619e-05,0.00578681471124164
"HLA-DQA1",894.220622983448,1.94958752651184,0.364846098151097,1.24889033737427e-08,6.16913981501151e-06
"WARS",3541.29033702743,1.94151738743819,0.352601407036613,5.19212738754465e-09,2.82122895147884e-06
"ANKRD36BP2",58.0698944010605,1.9306884978736,0.878845350138777,7.34004556898063e-05,0.00643280015161039
"HLA-DRA",6578.20810926031,1.92443882980937,0.332403588394088,1.05723409592019e-09,6.62845115292114e-07
"CD8A",93.1187083578432,1.91725069112775,0.406652036347779,3.01457484878529e-07,8.05583354263099e-05
"SH2D1A",27.4848238421982,1.91580730179481,0.539422541836066,1.10020733004932e-05,0.00154624174041411
"IL21R",81.7643606134375,1.90971530718503,0.518951232754484,8.4967717990366e-06,0.00129444744949622
"FCGR1A",161.521373218211,1.90425465285991,0.477109157577509,4.02091958100467e-06,0.000734748682178155
"SLA2",30.5593496510371,1.88950840260869,0.528710626189501,1.10032539039345e-05,0.00154624174041411
"CTSW",39.9879938928106,1.88206405147126,0.413464399780651,6.42337760435584e-07,0.000156279818400902
"HLA-DMB",629.323240542384,1.88017355607586,0.370194640993398,5.791574913884e-08,2.14564687889144e-05
"GBP1",1326.48939196939,1.87744199026426,0.288539250994284,1.30552052377717e-11,1.52009214700654e-08
"TNFSF13B",267.207712663143,1.87158590965767,0.243558375736952,2.71667419483348e-15,5.53556325624756e-12
