"cluster","pValue_BvsC1D1","mean(C1D1-B)","pValue_C1D1vsC2D1","mean(C2D1-C1D1)","pValue_BvsC2D2","mean(C2D1-B)"
"B","0.001","-1.529","0.039","-1.127","0.016","-2.392"
"DNT_I","0.582","-0.004","0.742","-0.013","0.844","0.001"
"DNT_II","0.07","-0.11","0.547","-0.128","0.078","-0.113"
"DNT_III","0.284","0.099","0.016","-0.11","0.078","-0.068"
"M","0.35","3.024","0.461","2.351","0.148","6.615"
"NK_I","0.35","-0.141","0.461","0.468","0.383","0.511"
"NK_II","0.019","-0.627","0.25","-0.303","0.844","-0.419"
"NK_III","0.63","0.074","0.641","0.421","0.023","0.691"
"NK_IV","0.374","0.034","0.016","0.537","0.148","0.595"
"TcEFF_I","0.955","0.113","0.25","-0.362","0.313","-0.137"
"TcEFF_II","0.023","-0.19","0.055","-0.196","0.055","-0.204"
"TcEFF_III","0.077","0.1","0.844","0.036","0.195","0.176"
"TcEFF_IV","0.164","0.272","0.641","-0.235","0.641","-0.162"
"TcEFF_V","0.695","-0.27","0.547","-0.268","0.742","-0.11"
"TcEFF_VI","0.695","0.093","0.844","0.019","0.547","0.128"
"TcEM","0.973","0.019","0.945","0.092","0.945","-0.048"
"TcN","0.849","0.156","0.023","-0.876","0.25","-0.498"
"ThCM_I","0.099","0.349","0.313","0.692","0.383","0.455"
"ThCM_II","0.034","0.097","0.055","0.436","0.195","0.37"
"ThCM_III","0.508","-0.118","0.844","0.252","0.313","-0.48"
"ThCM_IV","0.06","-0.732","0.461","-0.195","0.016","-1.854"
"ThCM_V","0.399","0.055","0.641","-0.134","0.25","-0.22"
"ThCM_VI","0.35","0.048","0.547","-0.039","0.383","0.066"
"ThEM_I","0.001","0.231","0.641","0.116","0.313","0.275"
"ThEM_II","0.171","-0.161","0.195","-0.155","0.016","-0.464"
"ThEM_III","0.582","0.015","1","0.026","0.742","-0.063"
"ThEM_IV","0.438","-0.074","0.078","-0.225","0.039","-0.412"
"ThEM_IX","0.04","0.129","0.742","-0.087","0.742","0.042"
"ThEM_V","0.646","-0.058","0.25","-0.117","0.016","-0.335"
"ThEM_VI","0.991","-0.133","0.25","-0.903","0.016","-1.321"
"ThEM_VII","0.955","-0.005","0.641","-0.029","1","0.003"
"ThEM_VIII","0.036","0.059","0.945","0","0.195","0.048"
"ThEM_X","0.762","-0.103","0.055","-0.07","0.742","-0.017"
"ThN_I","0.814","-0.064","0.25","1.852","0.945","0.573"
"ThN_II","0.973","-0.37","0.109","-0.924","0.383","-0.929"
"ThN_III","0.745","-0.045","0.313","-0.35","1","-0.036"
"ThN_IV","0.695","-0.029","0.195","-0.698","0.945","-0.311"
"ThN_V","0.35","-0.106","0.055","0.334","0.844","0.083"
"Treg","0.438","-0.099","0.844","-0.089","0.844","-0.038"
