"marker","cluster","pValue_BvsC1D1","mean(C1D1-B)","pValue_C1D1vsC2D1","mean(C2D1-C1D1)","pValue_BvsC2D2","mean(C2D1-B)"
"CD3","B","0.646","0.006","0.641","-0.005","0.641","0.001"
"CD19","B","0","0.093","0.109","-0.054","0.008","0.078"
"CD117","B","0","0.009","0.109","-0.005","0.313","0.007"
"CD11B","B","0.002","0.019","0.844","0.004","0.016","0.024"
"CD4","B","0.662","0.006","0.148","0.011","0.078","0.016"
"CD8","B","0.109","0.012","0.547","0.009","0.148","0.025"
"CXCR2","B","0.937","0","0.945","0.001","0.945","0"
"CD14","B","0.711","0.005","0.742","-0.006","0.383","0.009"
"CD1C","B","0.001","0.12","0.078","-0.054","0.148","0.118"
"FCERI","B","0.053","0.005","1","0.006","0.641","0.004"
"CD103","B","0.451","0.001","0.461","0.001","0.547","0"
"CD66B","B","0.662","-0.002","0.109","0.004","0.109","0.004"
"CCR2","B","0.018","0.019","0.383","0.011","0.055","0.022"
"CD163","B","0.884","0","1","0","0.383","0.001"
"CD123","B","0","-0.045","0.023","-0.08","0.008","-0.147"
"CCR5","B","0.126","0.006","0.945","0","0.844","0.006"
"CLEC9A","B","0.016","0.013","0.742","0.003","0.383","0.01"
"CD11C","B","0","0.081","0.547","0.075","0.008","0.149"
"CD141","B","0.007","0.004","0.547","0.002","0.313","0.003"
"CD80","B","0.018","0.008","0.945","-0.004","0.641","0.004"
"TLR4","B","0.011","0.007","0.641","-0.002","0.055","0.007"
"CD172AB","B","0.019","0.014","0.742","0.001","0.148","0.012"
"CD40","B","0","-0.263","1","0.011","0.023","-0.188"
"PDL2","B","0.12","-0.01","0.461","0.018","0.844","0.001"
"CCR7","B","0.35","-0.038","0.195","0.1","0.844","0.057"
"CD206","B","0","-0.027","0.945","0.001","0.055","-0.015"
"CD33","B","0.284","0.004","0.313","0.006","0.25","0.01"
"HLADR","B","0","-0.164","0.742","0.005","0.078","-0.075"
"CD68","B","0.012","-0.015","0.945","0.003","0.641","0.006"
"CD15","B","0.937","0","0.945","0.005","0.313","0.011"
"CXCR4","B","0.762","0.049","0.641","0.101","0.25","0.188"
"CD116","B","0.479","0.015","0.844","0.007","0.547","0.023"
"PDL1","B","0","0.015","0.148","0.012","0.008","0.028"
"CD135","B","0.095","0.003","0.945","-0.001","0.641","0.002"
"CD16","B","0.374","0.002","0.25","-0.006","0.742","-0.002"
"Arg1","B","0.15","-0.005","0.844","-0.003","0.25","-0.009"
"CD3","cDC1","0.013","-0.015","0.742","0.005","0.313","-0.029"
"CD19","cDC1","0.973","-0.001","0.945","0.007","0.742","0.006"
